rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
3.98,1037,anxiety,6.02,5.0,1.4424978336205567,F9hEyhHx2UcDoYq9p4H28cHBXRa2
1.0,0758,anxiety,1.0,1.0,0.0,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.03,0722,anxiety,7.0,6.515000000000001,0.685893577750951,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.01,2121,anxiety,5.98,5.995,0.021213203435595972,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.02,1283,anxiety,6.03,6.025,0.007071067811865952,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.0,0115,anxiety,3.97,3.9850000000000003,0.021213203435596288,F9hEyhHx2UcDoYq9p4H28cHBXRa2
7.0,0744,anxiety,7.0,7.0,0.0,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,0969,anxiety,4.96,4.98,0.028284271247461926,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.96,0190,anxiety,5.89,5.925,0.049497474683058526,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,0522,anxiety,4.88,4.9399999999999995,0.08485281374238578,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.05,0271,anxiety,7.0,6.525,0.6717514421272203,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,1642,anxiety,5.98,5.49,0.6929646455628169,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.02,0491,anxiety,4.98,5.0,0.028284271247461298,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.0,1114,anxiety,5.99,5.995,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.97,0046,anxiety,6.07,6.02,0.07071067811865513,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.02,0460,anxiety,6.01,6.015,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.03,0548,anxiety,6.0,5.515000000000001,0.685893577750951,F9hEyhHx2UcDoYq9p4H28cHBXRa2
