rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
5.0,2007,romance,5.01,5.005,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.92,1238,romance,2.93,2.925,0.007071067811865638,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.02,1989,romance,4.98,5.0,0.028284271247461298,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.05,0779,romance,4.02,3.5349999999999997,0.685893577750951,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.03,1054,romance,4.96,5.495,0.7566042558696061,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.97,0543,romance,4.97,4.97,0.0,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.04,1658,romance,5.02,5.029999999999999,0.014142135623731277,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.02,2110,romance,4.03,4.025,0.007071067811865952,F9hEyhHx2UcDoYq9p4H28cHBXRa2
1.0,0103,romance,1.0,1.0,0.0,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.99,1928,romance,4.94,4.965,0.03535533905932725,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.95,0277,romance,4.97,4.46,0.7212489168102781,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.03,1534,romance,4.97,5.0,0.0424264068711932,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.97,1086,romance,4.97,4.97,0.0,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.97,1756,romance,3.99,4.48,0.6929646455628162,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.02,1829,romance,4.97,5.494999999999999,0.7424621202458748,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.01,1909,romance,6.02,6.015,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.03,0520,romance,3.02,3.025,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.95,1626,romance,5.01,4.98,0.042426406871192576,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.94,0824,romance,4.95,4.945,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,0307,romance,4.96,4.98,0.028284271247461926,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.97,1028,romance,4.96,4.465,0.7000357133746818,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.02,0069,romance,3.0,2.51,0.6929646455628166,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.0,1716,romance,4.02,3.51,0.7212489168102781,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.01,1807,romance,5.02,5.015,0.007071067811865324,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.98,1622,romance,4.95,4.965,0.0212132034355966,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,1378,romance,5.05,5.025,0.03535533905932725,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.05,1295,romance,4.97,5.01,0.05656854249492385,F9hEyhHx2UcDoYq9p4H28cHBXRa2
1.97,0779,romance,3.87,2.92,1.3435028842544403,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.45,1295,romance,5.7,6.075,0.5303300858899106,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.81,1054,romance,5.42,5.615,0.27577164466275333,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.71,2007,romance,6.85,6.779999999999999,0.09899494936611643,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.44,1928,romance,5.76,6.1,0.4808326112068527,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.04,1716,romance,4.82,4.93,0.15556349186104027,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.89,1378,romance,5.61,5.75,0.19798989873223286,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.65,1756,romance,4.2,4.425000000000001,0.3181980515339465,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.91,0543,romance,6.07,5.99,0.1131370849898477,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.03,0103,romance,4.2,3.615,0.8273149339882608,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.07,0069,romance,3.72,3.395,0.45961940777125615,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.17,1989,romance,5.65,5.91,0.3676955262170044,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
7.0,1238,romance,6.86,6.93,0.09899494936611643,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.36,0824,romance,4.12,4.24,0.16970562748477155,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.63,1909,romance,5.61,5.62,0.014142135623730649,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
1.96,0520,romance,2.19,2.075,0.1626345596729059,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
1.97,1534,romance,2.71,2.34,0.5232590180780452,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.13,1829,romance,5.88,6.005,0.1767766952966369,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.03,1807,romance,5.33,5.68,0.4949747468305834,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.0,1626,romance,3.56,3.2800000000000002,0.39597979746446665,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.26,1028,romance,4.24,4.25,0.014142135623730649,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.01,0277,romance,5.24,5.125,0.16263455967290624,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.15,2110,romance,5.58,5.865,0.40305086527633227,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.65,1622,romance,5.62,5.635,0.0212132034355966,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.92,1086,romance,6.24,6.08,0.2262741699796954,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.93,1658,romance,6.83,6.88,0.0707106781186545,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.05,0307,romance,5.28,4.165,1.5768481220460013,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
1.95,1534,romance,1.1,1.525,0.6010407640085653,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.02,1622,romance,6.78,5.9,1.2445079348883241,Piy5vZ3YFVbXWkAUPK8LB1NQK433
1.0,1054,romance,1.09,1.045,0.06363961030678934,Piy5vZ3YFVbXWkAUPK8LB1NQK433
4.97,1756,romance,6.17,5.57,0.8485281374238571,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.95,1829,romance,6.64,6.295,0.48790367901871745,Piy5vZ3YFVbXWkAUPK8LB1NQK433
3.22,0277,romance,2.16,2.6900000000000004,0.7495331880577404,Piy5vZ3YFVbXWkAUPK8LB1NQK433
4.5,1378,romance,6.29,5.395,1.2657211383239202,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.77,1086,romance,6.29,6.029999999999999,0.367695526217005,Piy5vZ3YFVbXWkAUPK8LB1NQK433
3.8,0307,romance,5.07,4.4350000000000005,0.8980256121069157,Piy5vZ3YFVbXWkAUPK8LB1NQK433
6.01,1989,romance,6.46,6.234999999999999,0.3181980515339465,Piy5vZ3YFVbXWkAUPK8LB1NQK433
4.78,1716,romance,6.03,5.405,0.8838834764831844,Piy5vZ3YFVbXWkAUPK8LB1NQK433
6.33,1928,romance,6.73,6.53,0.2828427124746193,Piy5vZ3YFVbXWkAUPK8LB1NQK433
2.16,0779,romance,1.69,1.925,0.3323401871576775,Piy5vZ3YFVbXWkAUPK8LB1NQK433
4.74,2007,romance,6.52,5.63,1.2586500705120542,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.68,1807,romance,6.83,6.255,0.8131727983645299,Piy5vZ3YFVbXWkAUPK8LB1NQK433
4.68,2110,romance,5.77,5.225,0.7707463914933367,Piy5vZ3YFVbXWkAUPK8LB1NQK433
3.8,0543,romance,6.7,5.25,2.050609665440988,Piy5vZ3YFVbXWkAUPK8LB1NQK433
4.07,0069,romance,6.47,5.27,1.6970562748477138,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.93,1295,romance,5.59,5.76,0.24041630560342606,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.93,1909,romance,5.76,5.845,0.12020815280171303,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.31,1626,romance,6.22,5.765,0.6434671708797584,Piy5vZ3YFVbXWkAUPK8LB1NQK433
3.2,0520,romance,1.74,2.47,1.0323759005323596,Piy5vZ3YFVbXWkAUPK8LB1NQK433
6.41,1238,romance,6.51,6.46,0.0707106781186545,Piy5vZ3YFVbXWkAUPK8LB1NQK433
3.29,0824,romance,4.68,3.985,0.9828784258493009,Piy5vZ3YFVbXWkAUPK8LB1NQK433
3.34,1028,romance,2.55,2.945,0.5586143571373726,Piy5vZ3YFVbXWkAUPK8LB1NQK433
5.32,1658,romance,6.18,5.75,0.6081118318204305,Piy5vZ3YFVbXWkAUPK8LB1NQK433
1.0,0103,romance,1.06,1.03,0.04242640687119289,Piy5vZ3YFVbXWkAUPK8LB1NQK433
2.08,1054,romance,4.47,3.275,1.6899852070358483,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
,1756,romance,6.05,6.05,,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
7.0,1928,romance,6.14,6.57,0.608111831820431,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.11,1534,romance,5.83,5.470000000000001,0.5091168824543141,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.45,0779,romance,5.19,5.32,0.1838477631085022,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
2.61,1086,romance,6.72,4.665,2.90620887067671,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
7.0,1807,romance,5.32,6.16,1.1879393923933996,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
1.0,0069,romance,5.96,3.48,3.5072496346852757,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
4.6,1989,romance,5.08,4.84,0.3394112549695431,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.22,1829,romance,6.41,5.8149999999999995,0.8414570696119918,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
3.0,1716,romance,4.62,3.81,1.145512985522207,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
2.94,1626,romance,4.44,3.6900000000000004,1.0606601717798216,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
1.47,0520,romance,5.12,3.295,2.5809397513308987,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
4.47,1658,romance,6.76,5.615,1.6192745289171937,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
6.9,1238,romance,4.64,5.77,1.5980613254815978,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
6.85,0824,romance,5.89,6.369999999999999,0.6788225099390857,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
6.94,2007,romance,4.73,5.835000000000001,1.56270598642227,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
6.89,0277,romance,6.22,6.555,0.4737615433949868,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.68,0307,romance,5.36,5.52,0.2262741699796948,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
6.17,1378,romance,7.0,6.585,0.5868986283848344,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
3.62,0103,romance,1.99,2.805,1.1525840533340725,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
6.57,1909,romance,5.37,5.970000000000001,0.8485281374238571,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.35,2110,romance,5.81,5.58,0.3252691193458118,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
4.5,0543,romance,5.56,5.029999999999999,0.7495331880577402,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.58,1028,romance,5.25,5.415,0.23334523779156074,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.96,1295,romance,4.82,5.390000000000001,0.8061017305526639,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.59,1622,romance,6.67,6.13,0.7636753236814714,Ti7ZjpP6UTYpEKeqHiMO7caR0zJ2
5.02,1807,romance,4.08,4.55,0.6646803743153543,B5iqxuyY6fPlhuLWxUMvHG30eqP2
6.12,0543,romance,6.03,6.075,0.06363961030678918,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.6,1928,romance,4.95,4.775,0.247487373415292,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.04,1295,romance,4.02,4.029999999999999,0.014142135623731277,B5iqxuyY6fPlhuLWxUMvHG30eqP2
5.05,1622,romance,6.0,5.525,0.6717514421272203,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.03,0103,romance,1.97,2.0,0.042426406871192736,B5iqxuyY6fPlhuLWxUMvHG30eqP2
1.99,1534,romance,2.0,1.995,0.007071067811865481,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.99,1378,romance,5.04,4.015000000000001,1.4495689014324222,B5iqxuyY6fPlhuLWxUMvHG30eqP2
3.04,1238,romance,4.95,3.995,1.3505739520663058,B5iqxuyY6fPlhuLWxUMvHG30eqP2
1.0,0779,romance,1.0,1.0,0.0,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.0,2007,romance,4.96,4.48,0.6788225099390857,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.97,2110,romance,2.98,3.9749999999999996,1.4071424945612294,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.98,0520,romance,2.66,2.8200000000000003,0.2262741699796951,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.98,0069,romance,4.02,3.5,0.735391052434009,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.04,1716,romance,4.04,4.04,0.0,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.11,1054,romance,4.98,4.545,0.6151828996322964,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.19,1829,romance,2.97,3.58,0.8626702730475881,B5iqxuyY6fPlhuLWxUMvHG30eqP2
3.01,1756,romance,4.07,3.54,0.7495331880577407,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.92,1626,romance,3.99,3.455,0.7566042558696061,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.9,0277,romance,2.94,2.92,0.028284271247461926,B5iqxuyY6fPlhuLWxUMvHG30eqP2
1.03,0824,romance,1.02,1.025,0.007071067811865481,B5iqxuyY6fPlhuLWxUMvHG30eqP2
3.99,1909,romance,3.37,3.68,0.4384062043356595,B5iqxuyY6fPlhuLWxUMvHG30eqP2
2.02,1028,romance,3.04,2.5300000000000002,0.7212489168102785,B5iqxuyY6fPlhuLWxUMvHG30eqP2
3.1,1086,romance,6.06,4.58,2.0930360723121804,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.11,0307,romance,6.17,5.140000000000001,1.4566399692442877,B5iqxuyY6fPlhuLWxUMvHG30eqP2
5.97,1989,romance,6.03,6.0,0.0424264068711932,B5iqxuyY6fPlhuLWxUMvHG30eqP2
5.05,1658,romance,5.12,5.085,0.049497474683058526,B5iqxuyY6fPlhuLWxUMvHG30eqP2
4.97,1756,romance,,4.97,,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
2.85,1622,romance,4.4,3.625,1.096015510839149,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
2.55,2110,romance,4.49,3.52,1.3717871555019026,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.91,0543,romance,5.54,5.225,0.44547727214752486,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.73,1086,romance,4.3,4.515000000000001,0.30405591591021586,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
6.18,1658,romance,6.01,6.095,0.12020815280171303,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
6.04,0779,romance,5.27,5.654999999999999,0.5444722215136419,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.08,1534,romance,4.38,4.73,0.4949747468305834,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.97,2007,romance,3.63,4.3,0.9475230867899735,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.15,0103,romance,5.05,5.1,0.07071067811865513,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.3,1716,romance,3.82,4.56,1.0465180361560904,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.74,1028,romance,5.11,5.425000000000001,0.44547727214752486,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
6.29,1909,romance,4.84,5.5649999999999995,1.025304832720494,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.2,1295,romance,5.5,5.35,0.21213203435596412,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.77,1829,romance,4.52,5.145,0.8838834764831844,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
6.39,1378,romance,4.43,5.41,1.3859292911256331,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.61,0520,romance,5.38,5.495,0.16263455967290624,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.93,1807,romance,4.97,4.949999999999999,0.028284271247461926,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.74,1054,romance,5.32,5.03,0.4101219330881976,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.71,1928,romance,5.8,5.255,0.7707463914933367,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.26,0069,romance,5.46,5.359999999999999,0.14142135623730964,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.46,1989,romance,4.3,4.88,0.8202438661763952,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.82,0307,romance,5.9,5.36,0.7636753236814714,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
4.89,0824,romance,5.44,5.165,0.38890872965260165,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
6.32,1238,romance,5.14,5.73,0.8343860018001265,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
6.09,0277,romance,,6.09,,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
5.9,1626,romance,5.35,5.625,0.38890872965260165,uWKJMnyXNsfpl1rbhlaS2kBk6EB2
1.74,0779,romance,1.5,1.62,0.16970562748477142,qmDjvMkxwoMJdQs99si3Kme0UcC2
4.8,1378,romance,5.22,5.01,0.2969848480983499,qmDjvMkxwoMJdQs99si3Kme0UcC2
2.36,0103,romance,2.29,2.325,0.049497474683058214,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.61,1238,romance,5.93,6.27,0.4808326112068527,qmDjvMkxwoMJdQs99si3Kme0UcC2
4.72,1295,romance,4.94,4.83,0.1555634918610409,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.34,0543,romance,5.41,5.375,0.049497474683058526,qmDjvMkxwoMJdQs99si3Kme0UcC2
1.93,0277,romance,4.09,3.01,1.5273506473629426,qmDjvMkxwoMJdQs99si3Kme0UcC2
3.1,0069,romance,5.23,4.165,1.5061374439273465,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.8,1909,romance,5.32,5.5600000000000005,0.3394112549695425,qmDjvMkxwoMJdQs99si3Kme0UcC2
2.78,1028,romance,3.64,3.21,0.6081118318204312,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.68,2110,romance,6.09,5.885,0.28991378028648457,qmDjvMkxwoMJdQs99si3Kme0UcC2
3.05,1626,romance,4.57,3.81,1.0748023074035526,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.2,1054,romance,5.49,5.345000000000001,0.2050609665440988,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.32,1622,romance,6.27,6.295,0.03535533905932788,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.1,1989,romance,5.85,5.975,0.1767766952966369,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.04,1829,romance,5.08,5.5600000000000005,0.6788225099390857,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.09,1928,romance,4.87,4.98,0.15556349186104027,qmDjvMkxwoMJdQs99si3Kme0UcC2
3.09,0307,romance,4.68,3.885,1.1242997820866105,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.22,1658,romance,4.95,5.085,0.19091883092036754,qmDjvMkxwoMJdQs99si3Kme0UcC2
3.53,1716,romance,5.58,4.555,1.4495689014324227,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.34,2007,romance,6.4,6.37,0.0424264068711932,qmDjvMkxwoMJdQs99si3Kme0UcC2
1.37,0824,romance,2.01,1.69,0.4525483399593902,qmDjvMkxwoMJdQs99si3Kme0UcC2
3.51,1756,romance,4.29,3.9,0.5515432893255072,qmDjvMkxwoMJdQs99si3Kme0UcC2
4.81,0520,romance,4.71,4.76,0.0707106781186545,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.11,1086,romance,6.19,6.15,0.05656854249492385,qmDjvMkxwoMJdQs99si3Kme0UcC2
1.13,1534,romance,1.23,1.18,0.07071067811865482,qmDjvMkxwoMJdQs99si3Kme0UcC2
5.27,1807,romance,5.34,5.305,0.049497474683058526,qmDjvMkxwoMJdQs99si3Kme0UcC2
6.83,1622,romance,5.81,6.32,0.7212489168102788,FJwRXjlNrSMDcuMS7XU9q5dXtQD3
6.9,2007,romance,5.29,6.095000000000001,1.1384419177103418,FJwRXjlNrSMDcuMS7XU9q5dXtQD3
7.0,1909,romance,6.99,6.995,0.007071067811865324,FJwRXjlNrSMDcuMS7XU9q5dXtQD3
1.0,0103,romance,6.96,3.98,4.214356415871824,FJwRXjlNrSMDcuMS7XU9q5dXtQD3
