rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
,1174,disgust,4.59,4.59,,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.96,0829,disgust,2.88,2.92,0.05656854249492385,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.96,0905,disgust,3.36,4.16,1.1313708498984762,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1259,disgust,6.85,6.925,0.10606601717798238,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.51,1487,disgust,3.33,3.92,0.8343860018001259,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.35,1970,disgust,1.0,1.675,0.9545941546018393,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.16,0079,disgust,4.95,4.555,0.5586143571373726,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.31,1271,disgust,5.52,5.414999999999999,0.14849242404917495,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.13,1137,disgust,4.43,4.779999999999999,0.4949747468305834,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.79,1404,disgust,3.23,3.01,0.31112698372208086,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.34,1960,disgust,3.54,3.94,0.5656854249492379,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.53,1434,disgust,3.42,3.4749999999999996,0.07778174593052013,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.77,1757,disgust,3.18,3.475,0.41719300090006295,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.48,1765,disgust,4.78,4.630000000000001,0.21213203435596412,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.04,0218,disgust,2.55,2.295,0.36062445840513907,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.77,0566,disgust,4.71,4.74,0.042426406871192576,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.39,0417,disgust,4.9,4.645,0.3606244584051397,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.33,1576,disgust,3.55,3.44,0.15556349186104027,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.69,1916,disgust,5.12,4.905,0.30405591591021525,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,2006,disgust,1.99,2.705,1.011162697096763,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0513,disgust,6.72,6.859999999999999,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.8,0909,disgust,3.47,3.135,0.4737615433949871,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.86,1035,disgust,4.65,3.755,1.2657211383239204,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.32,0059,disgust,5.52,5.42,0.141421356237309,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.66,0464,disgust,4.54,4.6,0.08485281374238578,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.27,0095,disgust,5.05,4.66,0.5515432893255073,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.55,0282,disgust,4.88,4.215,0.9404520189781083,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,2067,disgust,3.7,3.56,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.81,0464,disgust,6.7,6.755,0.07778174593051983,vTreiIt2JuefuP24EEhz5QRXwyq2
1.99,2067,disgust,1.96,1.975,0.021213203435596444,vTreiIt2JuefuP24EEhz5QRXwyq2
6.46,0218,disgust,6.6,6.529999999999999,0.09899494936611643,vTreiIt2JuefuP24EEhz5QRXwyq2
6.99,1137,disgust,6.46,6.725,0.37476659402887036,vTreiIt2JuefuP24EEhz5QRXwyq2
6.75,1434,disgust,6.91,6.83,0.1131370849898477,vTreiIt2JuefuP24EEhz5QRXwyq2
6.94,1174,disgust,6.94,6.94,0.0,vTreiIt2JuefuP24EEhz5QRXwyq2
2.91,0513,disgust,1.81,2.3600000000000003,0.7778174593052023,vTreiIt2JuefuP24EEhz5QRXwyq2
6.55,0079,disgust,6.9,6.725,0.247487373415292,vTreiIt2JuefuP24EEhz5QRXwyq2
1.04,0566,disgust,1.16,1.1,0.08485281374238562,vTreiIt2JuefuP24EEhz5QRXwyq2
5.91,0282,disgust,5.18,5.545,0.51618795026618,vTreiIt2JuefuP24EEhz5QRXwyq2
6.95,0059,disgust,5.64,6.295,0.9263098833543776,vTreiIt2JuefuP24EEhz5QRXwyq2
6.39,0829,disgust,6.41,6.4,0.014142135623731277,vTreiIt2JuefuP24EEhz5QRXwyq2
6.82,1765,disgust,6.99,6.905,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
6.92,0417,disgust,5.25,6.085,1.1808683245815343,vTreiIt2JuefuP24EEhz5QRXwyq2
6.7,1259,disgust,1.62,4.16,3.5921024484276614,vTreiIt2JuefuP24EEhz5QRXwyq2
2.08,1035,disgust,1.61,1.8450000000000002,0.3323401871576773,vTreiIt2JuefuP24EEhz5QRXwyq2
6.21,1916,disgust,5.53,5.87,0.4808326112068521,vTreiIt2JuefuP24EEhz5QRXwyq2
6.09,2006,disgust,3.29,4.6899999999999995,1.979898987322333,vTreiIt2JuefuP24EEhz5QRXwyq2
2.78,1960,disgust,2.96,2.87,0.1272792206135787,vTreiIt2JuefuP24EEhz5QRXwyq2
5.87,0909,disgust,5.93,5.9,0.042426406871192576,vTreiIt2JuefuP24EEhz5QRXwyq2
2.73,1404,disgust,2.15,2.44,0.4101219330881976,vTreiIt2JuefuP24EEhz5QRXwyq2
6.01,1576,disgust,6.84,6.425,0.5868986283848344,vTreiIt2JuefuP24EEhz5QRXwyq2
6.46,0905,disgust,4.49,5.475,1.3930003589374984,vTreiIt2JuefuP24EEhz5QRXwyq2
1.18,1970,disgust,1.84,1.51,0.4666904755831215,vTreiIt2JuefuP24EEhz5QRXwyq2
6.74,0095,disgust,5.82,6.28,0.6505382386916236,vTreiIt2JuefuP24EEhz5QRXwyq2
6.72,1487,disgust,6.77,6.744999999999999,0.03535533905932725,vTreiIt2JuefuP24EEhz5QRXwyq2
6.79,1271,disgust,6.82,6.805,0.0212132034355966,vTreiIt2JuefuP24EEhz5QRXwyq2
7.0,1757,disgust,2.16,4.58,3.42239682094289,vTreiIt2JuefuP24EEhz5QRXwyq2
4.34,1174,disgust,3.07,3.705,0.8980256121069153,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.47,0909,disgust,1.24,1.355,0.1626345596729059,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.74,1035,disgust,1.96,1.85,0.15556349186104043,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.9,1757,disgust,3.02,3.96,1.3293607486307097,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.5,1137,disgust,3.0,3.75,1.0606601717798212,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
3.42,0282,disgust,4.57,3.995,0.8131727983645299,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2.5,0059,disgust,4.97,3.735,1.7465537495307721,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.29,0218,disgust,6.86,6.075,1.1101576464628797,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.0,1970,disgust,1.0,1.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.41,0905,disgust,5.39,5.4,0.014142135623731277,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.78,0464,disgust,6.44,6.61,0.24041630560342606,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,1576,disgust,6.97,6.984999999999999,0.0212132034355966,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.02,0829,disgust,5.56,5.789999999999999,0.3252691193458118,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.98,2067,disgust,2.96,3.97,1.4283556979968264,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.81,1434,disgust,6.08,5.945,0.19091883092036815,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.97,0079,disgust,5.02,5.494999999999999,0.6717514421272203,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.98,0513,disgust,4.51,3.245,1.788980156401965,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.95,2006,disgust,1.0,1.475,0.67175144212722,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
3.66,1960,disgust,4.19,3.9250000000000003,0.37476659402887036,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.93,0566,disgust,2.0,1.9649999999999999,0.049497474683058366,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.61,1916,disgust,3.54,4.075,0.7566042558696061,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.01,1487,disgust,4.9,4.955,0.07778174593051983,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2.95,0417,disgust,5.24,4.095000000000001,1.6192745289171937,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.88,1765,disgust,2.0,1.94,0.08485281374238578,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2.99,0095,disgust,3.5,3.245,0.36062445840513907,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.03,1404,disgust,1.0,1.0150000000000001,0.021213203435596444,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.03,1271,disgust,5.98,6.005000000000001,0.03535533905932725,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.0,1259,disgust,5.06,5.029999999999999,0.042426406871192576,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1.0,2006,disgust,1.0,1.0,0.0,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.0,0464,disgust,6.64,6.32,0.4525483399593902,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.51,1765,disgust,6.66,6.585,0.10606601717798238,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.04,0059,disgust,5.22,4.13,1.5414927829866734,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.04,1757,disgust,6.08,6.0600000000000005,0.028284271247461926,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.09,1960,disgust,1.4,1.245,0.21920310216782962,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.42,0417,disgust,6.05,5.734999999999999,0.44547727214752486,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.62,1487,disgust,5.63,5.625,0.007071067811865324,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.01,2067,disgust,1.88,1.4449999999999998,0.6151828996322963,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.29,1970,disgust,1.51,1.4,0.15556349186104043,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.08,0282,disgust,2.01,2.045,0.049497474683058526,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.0,1035,disgust,,1.0,,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.21,1404,disgust,1.41,1.31,0.14142135623730948,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.57,1271,disgust,6.58,6.575,0.007071067811865324,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.84,1174,disgust,2.05,1.9449999999999998,0.1484924240491748,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.94,1916,disgust,2.98,2.96,0.028284271247461926,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.85,0513,disgust,4.85,4.85,0.0,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.34,0909,disgust,3.0,3.17,0.24041630560342606,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.01,1434,disgust,3.03,3.0199999999999996,0.014142135623730963,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.25,1576,disgust,5.14,5.195,0.07778174593052045,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.79,1137,disgust,6.7,6.745,0.06363961030678918,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.69,0079,disgust,2.94,2.815,0.1767766952966369,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.49,0829,disgust,3.28,3.385,0.14849242404917526,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.23,0095,disgust,6.02,5.625,0.558614357137372,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
7.0,0218,disgust,6.99,6.995,0.007071067811865324,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.79,0905,disgust,4.36,4.075,0.40305086527633227,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.63,0566,disgust,2.84,3.735,1.26572113832392,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.02,1259,disgust,5.38,5.699999999999999,0.4525483399593902,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.96,0905,disgust,1.61,1.7850000000000001,0.24748737341529153,ImtyU7Np9RZdaz4zDybL67yuJrB3
5.05,1174,disgust,4.2,4.625,0.6010407640085651,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.87,0566,disgust,4.58,3.225,1.9162593770155438,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.0,0417,disgust,3.05,2.025,1.4495689014324225,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.0,1576,disgust,1.92,1.46,0.6505382386916236,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.3,1271,disgust,6.16,6.23,0.09899494936611643,ImtyU7Np9RZdaz4zDybL67yuJrB3
3.03,1035,disgust,4.35,3.6899999999999995,0.9333809511662426,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.0,1404,disgust,1.0,1.0,0.0,ImtyU7Np9RZdaz4zDybL67yuJrB3
