rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
,1174,disgust,2600,4.59,900,4.59,,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.81,0460,anxiety,900,7.0,2600,6.404999999999999,0.8414570696119918,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.37,1485,sadness,2600,5.25,900,5.8100000000000005,0.7919595949289333,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.96,0829,disgust,2600,2.88,900,2.92,0.05656854249492385,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.48,1283,anxiety,900,7.0,2600,6.24,1.074802307403552,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.93,0746,sadness,2600,4.89,900,4.41,0.6788225099390853,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.69,0824,romance,900,5.83,2600,5.76,0.09899494936611643,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.96,0905,disgust,900,3.36,2600,4.16,1.1313708498984762,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.7,0490,sadness,2600,5.0,900,5.35,0.4949747468305834,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1259,disgust,900,6.85,2600,6.925,0.10606601717798238,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.58,1037,anxiety,2600,6.61,900,6.095000000000001,0.7283199846221442,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.51,1487,disgust,900,3.33,2600,3.92,0.8343860018001259,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.72,0489,anxiety,2600,4.34,900,4.529999999999999,0.268700576850888,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.43,1378,romance,900,5.37,2600,5.4,0.042426406871192576,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.35,1970,disgust,2600,1.0,900,1.675,0.9545941546018393,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.16,0079,disgust,900,4.95,2600,4.555,0.5586143571373726,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.15,0120,sadness,2600,1.0,900,1.075,0.10606601717798207,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.1,0520,romance,900,6.61,2600,6.355,0.3606244584051397,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.95,1402,anxiety,2600,1.38,900,1.665,0.40305086527633216,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.31,1271,disgust,900,5.52,2600,5.414999999999999,0.14849242404917495,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.62,0083,joy,2600,5.21,900,5.415,0.28991378028648457,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.84,1623,sadness,900,4.6,2600,4.72,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.57,1169,sadness,900,5.97,2600,5.77,0.2828427124746186,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.13,1137,disgust,900,4.43,2600,4.779999999999999,0.4949747468305834,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.04,0174,joy,2600,5.99,900,6.015000000000001,0.03535533905932725,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.05,1622,romance,2600,4.73,900,5.390000000000001,0.9333809511662423,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.12,0491,anxiety,900,1.0,2600,1.56,0.7919595949289333,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.52,1028,romance,900,4.8,2600,4.66,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.16,1807,romance,2600,6.02,900,6.09,0.09899494936611705,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.85,0115,anxiety,2600,5.21,900,5.029999999999999,0.2545584412271574,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.79,1404,disgust,900,3.23,2600,3.01,0.31112698372208086,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.37,0543,romance,900,6.34,2600,5.855,0.685893577750951,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.78,1943,sadness,900,3.31,2600,3.545,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.47,0069,romance,2600,4.57,900,5.02,0.6363961030678924,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.11,0730,anxiety,2600,4.56,900,4.835,0.38890872965260165,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.41,1698,joy,900,4.14,2600,4.275,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.74,0864,joy,900,4.47,2600,4.105,0.5161879502661794,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.65,1428,joy,2600,3.41,900,3.5300000000000002,0.16970562748477125,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0395,anxiety,2600,7.0,900,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.34,1960,disgust,2600,3.54,900,3.94,0.5656854249492379,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.77,2102,joy,900,4.65,2600,4.21,0.6222539674441621,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.79,0911,anxiety,900,5.82,2600,5.805,0.0212132034355966,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.56,2062,sadness,2600,4.5,900,4.03,0.6646803743153546,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.35,0982,joy,900,5.45,2600,4.9,0.7778174593052027,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.75,1642,anxiety,900,6.15,2600,5.95,0.2828427124746193,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.53,1434,disgust,900,3.42,2600,3.4749999999999996,0.07778174593052013,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.86,0891,sadness,2600,4.53,900,3.6950000000000003,1.1808683245815346,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,0312,sadness,900,1.7,2600,1.35,0.49497474683058323,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.75,1898,joy,2600,4.29,900,4.52,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.28,1343,joy,900,2.33,2600,2.8049999999999997,0.6717514421272199,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.0,1743,joy,2600,5.12,900,5.0600000000000005,0.08485281374238578,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.48,0969,anxiety,900,4.72,2600,5.1,0.5374011537017765,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,0779,romance,900,3.04,2600,3.23,0.268700576850888,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.8,1829,romance,2600,5.99,900,5.895,0.1343502884254443,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.81,0600,sadness,900,2.15,2600,2.48,0.4666904755831215,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.77,1757,disgust,2600,3.18,900,3.475,0.41719300090006295,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.48,1765,disgust,2600,4.78,900,4.630000000000001,0.21213203435596412,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.97,0722,anxiety,900,6.06,2600,6.015,0.06363961030678918,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,2110,romance,2600,5.32,900,6.16,1.1879393923933996,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.26,1160,joy,2600,2.9,900,2.58,0.45254833995939053,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.12,1580,joy,900,5.14,2600,5.13,0.014142135623730649,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.89,1101,sadness,900,6.19,2600,6.04,0.21213203435596475,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.04,0218,disgust,900,2.55,2600,2.295,0.36062445840513907,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,0103,romance,900,3.38,2600,2.19,1.682914139223983,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.17,0009,sadness,2600,5.97,900,6.07,0.14142135623730964,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1492,anxiety,2600,3.56,900,5.28,2.4324473272817237,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.77,0566,disgust,900,4.71,2600,4.74,0.042426406871192576,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.9,1703,sadness,900,5.16,2600,4.03,1.5980613254815976,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.84,1329,sadness,2600,4.92,900,4.38,0.7636753236814714,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.9,1928,romance,2600,4.69,900,4.795,0.14849242404917495,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.17,1658,romance,900,5.72,2600,5.445,0.388908729652601,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.97,1114,anxiety,2600,4.82,900,4.895,0.10606601717798175,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.06,2119,sadness,900,5.19,2600,5.125,0.09192388155425173,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.39,0417,disgust,2600,4.9,900,4.645,0.3606244584051397,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.78,1752,sadness,2600,2.95,900,2.365,0.8273149339882607,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.11,1626,romance,2600,5.13,900,5.12,0.014142135623730649,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.29,2035,sadness,900,6.89,2600,6.59,0.4242640687119283,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.0,1692,joy,2600,4.74,900,4.87,0.1838477631085022,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.19,2060,joy,900,3.85,2600,4.0200000000000005,0.24041630560342636,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,1716,romance,2600,5.0,900,4.21,1.1172287142747452,O4mOO2W80Od34gyNg7l6hJzqlDm2
