rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
5.81,0460,anxiety,900,7.0,2600,6.404999999999999,0.8414570696119918,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.48,1283,anxiety,900,7.0,2600,6.24,1.074802307403552,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.58,1037,anxiety,2600,6.61,900,6.095000000000001,0.7283199846221442,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.72,0489,anxiety,2600,4.34,900,4.529999999999999,0.268700576850888,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.95,1402,anxiety,2600,1.38,900,1.665,0.40305086527633216,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.12,0491,anxiety,900,1.0,2600,1.56,0.7919595949289333,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.85,0115,anxiety,2600,5.21,900,5.029999999999999,0.2545584412271574,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.11,0730,anxiety,2600,4.56,900,4.835,0.38890872965260165,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0395,anxiety,2600,7.0,900,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.79,0911,anxiety,900,5.82,2600,5.805,0.0212132034355966,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.75,1642,anxiety,900,6.15,2600,5.95,0.2828427124746193,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.48,0969,anxiety,900,4.72,2600,5.1,0.5374011537017765,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.97,0722,anxiety,900,6.06,2600,6.015,0.06363961030678918,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1492,anxiety,2600,3.56,900,5.28,2.4324473272817237,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.97,1114,anxiety,2600,4.82,900,4.895,0.10606601717798175,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.4,0271,anxiety,2600,3.57,900,3.9850000000000003,0.5868986283848348,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.41,0522,anxiety,900,3.18,2600,3.795,0.8697413408594534,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1737,anxiety,900,7.0,2600,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0190,anxiety,900,6.5,2600,6.75,0.3535533905932738,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0377,anxiety,900,7.0,2600,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.02,0744,anxiety,900,4.62,2600,4.82,0.2828427124746186,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.53,1777,anxiety,2600,4.72,900,4.625,0.1343502884254437,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,2121,anxiety,2600,7.0,900,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.88,2130,anxiety,900,4.72,2600,4.8,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0046,anxiety,2600,7.0,900,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.05,0648,anxiety,2600,5.86,900,5.455,0.5727564927611039,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1767,anxiety,900,7.0,2600,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.83,0548,anxiety,2600,6.07,900,5.95,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.66,1679,anxiety,2600,6.12,900,5.890000000000001,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,0758,anxiety,900,1.0,2600,1.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
