chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1487,6.775,0059,3.835,disgust,6.06,6.775,3.835,0.12020815280171303,1.2232947314527272,2.9400000000000004,1.34350288425444,10.61,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0566,5.835000000000001,0905,4.61,disgust,,5.835000000000001,4.61,0.2050609665440988,0.05656854249492385,1.2250000000000005,0.26162950903902266,10.445,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0059,3.835,1757,3.5599999999999996,disgust,,3.835,3.5599999999999996,1.2232947314527272,1.2869343417595163,0.27500000000000036,2.510229073212243,7.395,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0513,2.955,0059,3.835,disgust,,2.955,3.835,0.007071067811865324,1.2232947314527272,0.8799999999999999,1.2303657992645924,6.79,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0829,3.1100000000000003,0079,1.94,disgust,,3.1100000000000003,1.94,0.5374011537017763,0.028284271247461926,1.1700000000000004,0.5656854249492382,5.050000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0909,2.225,1960,1.65,disgust,,2.225,1.65,0.445477272147525,0.21213203435596428,0.5750000000000002,0.6576093065034894,3.875,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1487,6.775,0566,5.835000000000001,disgust,,6.775,5.835000000000001,0.12020815280171303,0.2050609665440988,0.9399999999999995,0.3252691193458118,12.610000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2006,1.69,1970,1.145,disgust,3.4,1.69,1.145,0.07071067811865482,0.0919238815542511,0.5449999999999999,0.1626345596729059,2.835,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0464,2.9800000000000004,1757,3.5599999999999996,disgust,,2.9800000000000004,3.5599999999999996,0.014142135623730963,1.2869343417595163,0.5799999999999992,1.3010764773832473,6.54,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0095,4.995,0218,5.555,disgust,,4.995,5.555,0.07778174593051983,0.5868986283848344,0.5599999999999996,0.6646803743153542,10.55,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0905,4.61,1960,1.65,disgust,,4.61,1.65,0.05656854249492385,0.21213203435596428,2.9600000000000004,0.2687005768508881,6.26,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1916,5.5649999999999995,0905,4.61,disgust,,5.5649999999999995,4.61,0.0919238815542511,0.05656854249492385,0.9549999999999992,0.14849242404917495,10.175,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1035,1.645,0909,2.225,disgust,,1.645,2.225,0.36062445840513924,0.445477272147525,0.5800000000000001,0.8061017305526643,3.87,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0417,5.255,1916,5.5649999999999995,disgust,4.79,5.255,5.5649999999999995,0.48790367901871745,0.0919238815542511,0.3099999999999996,0.5798275605729686,10.82,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0905,4.61,1035,1.645,disgust,,4.61,1.645,0.05656854249492385,0.36062445840513924,2.9650000000000003,0.41719300090006306,6.255000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1434,5.5649999999999995,1576,4.915,disgust,,5.5649999999999995,4.915,0.14849242404917495,0.021213203435595972,0.6499999999999995,0.16970562748477092,10.48,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0417,5.255,0905,4.61,disgust,,5.255,4.61,0.48790367901871745,0.05656854249492385,0.6449999999999996,0.5444722215136413,9.865,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1434,5.5649999999999995,0417,5.255,disgust,,5.5649999999999995,5.255,0.14849242404917495,0.48790367901871745,0.3099999999999996,0.6363961030678924,10.82,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1960,1.65,0079,1.94,disgust,,1.65,1.94,0.21213203435596428,0.028284271247461926,0.29000000000000004,0.2404163056034262,3.59,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1576,4.915,0079,1.94,disgust,,4.915,1.94,0.021213203435595972,0.028284271247461926,2.975,0.0494974746830579,6.855,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1487,6.775,1434,5.5649999999999995,disgust,,6.775,5.5649999999999995,0.12020815280171303,0.14849242404917495,1.2100000000000009,0.268700576850888,12.34,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1576,4.915,0282,1.88,disgust,,4.915,1.88,0.021213203435595972,0.09899494936611658,3.035,0.12020815280171256,6.795,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0829,3.1100000000000003,0909,2.225,disgust,,3.1100000000000003,2.225,0.5374011537017763,0.445477272147525,0.8850000000000002,0.9828784258493013,5.335000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1271,6.265000000000001,1259,5.415,disgust,6.73,6.265000000000001,5.415,0.37476659402887036,0.26162950903902205,0.8500000000000005,0.6363961030678924,11.68,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2067,1.325,0079,1.94,disgust,,1.325,1.94,0.4313351365237939,0.028284271247461926,0.615,0.4596194077712558,3.2649999999999997,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0464,2.9800000000000004,1137,1.73,disgust,,2.9800000000000004,1.73,0.014142135623730963,0.21213203435596414,1.2500000000000004,0.2262741699796951,4.710000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0218,5.555,1576,4.915,disgust,,5.555,4.915,0.5868986283848344,0.021213203435595972,0.6399999999999997,0.6081118318204304,10.469999999999999,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0829,3.1100000000000003,0282,1.88,disgust,,3.1100000000000003,1.88,0.5374011537017763,0.09899494936611658,1.2300000000000004,0.6363961030678928,4.99,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1487,6.775,0218,5.555,disgust,5.59,6.775,5.555,0.12020815280171303,0.5868986283848344,1.2200000000000006,0.7071067811865475,12.33,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0417,5.255,0909,2.225,disgust,,5.255,2.225,0.48790367901871745,0.445477272147525,3.03,0.9333809511662425,7.48,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1137,1.73,1970,1.145,disgust,4.39,1.73,1.145,0.21213203435596414,0.0919238815542511,0.585,0.30405591591021525,2.875,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0909,2.225,0282,1.88,disgust,,2.225,1.88,0.445477272147525,0.09899494936611658,0.3450000000000002,0.5444722215136416,4.105,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0417,5.255,0218,5.555,disgust,,5.255,5.555,0.48790367901871745,0.5868986283848344,0.2999999999999998,1.074802307403552,10.809999999999999,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2067,1.325,0909,2.225,disgust,6.07,1.325,2.225,0.4313351365237939,0.445477272147525,0.9000000000000001,0.8768124086713189,3.55,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0464,2.9800000000000004,0059,3.835,disgust,,2.9800000000000004,3.835,0.014142135623730963,1.2232947314527272,0.8549999999999995,1.2374368670764582,6.815,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0218,5.555,0905,4.61,disgust,,5.555,4.61,0.5868986283848344,0.05656854249492385,0.9449999999999994,0.6434671708797582,10.165,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1434,5.5649999999999995,0095,4.995,disgust,,5.5649999999999995,4.995,0.14849242404917495,0.07778174593051983,0.5699999999999994,0.2262741699796948,10.559999999999999,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2067,1.325,0282,1.88,disgust,,1.325,1.88,0.4313351365237939,0.09899494936611658,0.5549999999999999,0.5303300858899105,3.205,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1916,5.5649999999999995,1576,4.915,disgust,6.9,5.5649999999999995,4.915,0.0919238815542511,0.021213203435595972,0.6499999999999995,0.11313708498984708,10.48,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0566,5.835000000000001,0095,4.995,disgust,,5.835000000000001,4.995,0.2050609665440988,0.07778174593051983,0.8400000000000007,0.2828427124746186,10.830000000000002,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1487,6.775,1916,5.5649999999999995,disgust,,6.775,5.5649999999999995,0.12020815280171303,0.0919238815542511,1.2100000000000009,0.21213203435596412,12.34,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1765,6.215,0095,4.995,disgust,,6.215,4.995,0.34648232278140845,0.07778174593051983,1.2199999999999998,0.4242640687119283,11.21,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0513,2.955,1137,1.73,disgust,,2.955,1.73,0.007071067811865324,0.21213203435596414,1.225,0.21920310216782946,4.6850000000000005,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0566,5.835000000000001,1576,4.915,disgust,6.22,5.835000000000001,4.915,0.2050609665440988,0.021213203435595972,0.9200000000000008,0.22627416997969477,10.75,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2067,1.325,1960,1.65,disgust,2.83,1.325,1.65,0.4313351365237939,0.21213203435596428,0.32499999999999996,0.6434671708797581,2.9749999999999996,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
