chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1159,2.75,1343,1.49,joy,,2.75,1.49,0.3676955262170044,0.08485281374238578,1.26,0.4525483399593902,4.24,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1850,1.695,1743,2.6500000000000004,joy,,1.695,2.6500000000000004,0.10606601717798207,0.014142135623730963,0.9550000000000003,0.12020815280171304,4.345000000000001,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2102,2.1550000000000002,1898,1.29,joy,,2.1550000000000002,1.29,0.7566042558696058,0.2969848480983499,0.8650000000000002,1.0535891039679557,3.4450000000000003,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1012,1.745,1343,1.49,joy,,1.745,1.49,0.27577164466275345,0.08485281374238578,0.2550000000000001,0.36062445840513924,3.2350000000000003,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0174,3.965,2060,2.74,joy,,3.965,2.74,0.9828784258493011,0.6929646455628166,1.2249999999999996,1.6758430714121175,6.705,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1848,1.455,1012,1.745,joy,,1.455,1.745,0.27577164466275345,0.27577164466275345,0.29000000000000004,0.5515432893255069,3.2,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0864,2.3449999999999998,1848,1.455,joy,5.15,2.3449999999999998,1.455,0.19091883092036785,0.27577164466275345,0.8899999999999997,0.46669047558312127,3.8,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1848,1.455,0452,2.105,joy,,1.455,2.105,0.27577164466275345,0.7707463914933367,0.6499999999999999,1.0465180361560902,3.56,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1848,1.455,1661,2.1149999999999998,joy,,1.455,2.1149999999999998,0.27577164466275345,0.5586143571373724,0.6599999999999997,0.8343860018001259,3.57,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1159,2.75,0844,1.51,joy,,2.75,1.51,0.3676955262170044,0.3252691193458118,1.24,0.6929646455628162,4.26,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2060,2.74,0844,1.51,joy,,2.74,1.51,0.6929646455628166,0.3252691193458118,1.2300000000000002,1.0182337649086284,4.25,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2060,2.74,1343,1.49,joy,,2.74,1.49,0.6929646455628166,0.08485281374238578,1.2500000000000002,0.7778174593052023,4.23,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0982,1.7000000000000002,1743,2.6500000000000004,joy,,1.7000000000000002,2.6500000000000004,0.11313708498984755,0.014142135623730963,0.9500000000000002,0.12727922061357852,4.3500000000000005,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1661,2.1149999999999998,0844,1.51,joy,,2.1149999999999998,1.51,0.5586143571373724,0.3252691193458118,0.6049999999999998,0.8838834764831842,3.625,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1012,1.745,1503,1.47,joy,5.52,1.745,1.47,0.27577164466275345,0.014142135623730963,0.27500000000000013,0.2899137802864844,3.215,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1848,1.455,0982,1.7000000000000002,joy,,1.455,1.7000000000000002,0.27577164466275345,0.11313708498984755,0.2450000000000001,0.388908729652601,3.1550000000000002,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1743,2.6500000000000004,1343,1.49,joy,,2.6500000000000004,1.49,0.014142135623730963,0.08485281374238578,1.1600000000000004,0.09899494936611675,4.140000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1932,1.38,1698,1.62,joy,,1.38,1.62,0.14142135623730948,0.18384776310850234,0.2400000000000002,0.3252691193458118,3.0,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1692,2.3449999999999998,1503,1.47,joy,,2.3449999999999998,1.47,0.3606244584051394,0.014142135623730963,0.8749999999999998,0.37476659402887036,3.8149999999999995,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1850,1.695,1848,1.455,joy,,1.695,1.455,0.10606601717798207,0.27577164466275345,0.24,0.38183766184073553,3.1500000000000004,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
