chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1485,4.51,0774,1.555,sadness,,4.51,1.555,0.16970562748477155,0.12020815280171303,2.955,0.28991378028648457,6.0649999999999995,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0120,1.115,1329,1.47,sadness,4.71,1.115,1.47,0.1626345596729059,0.0,0.355,0.1626345596729059,2.585,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1485,4.51,1329,1.47,sadness,,4.51,1.47,0.16970562748477155,0.0,3.04,0.16970562748477155,5.9799999999999995,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0746,2.1,0774,1.555,sadness,,2.1,1.555,0.33941125496954266,0.12020815280171303,0.5450000000000002,0.4596194077712557,3.6550000000000002,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1169,2.77,0774,1.555,sadness,,2.77,1.555,0.028284271247461926,0.12020815280171303,1.215,0.14849242404917495,4.325,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1169,2.77,1167,1.925,sadness,6.29,2.77,1.925,0.028284271247461926,0.3889087296526013,0.845,0.4171930009000632,4.695,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0009,5.83,1169,2.77,sadness,,5.83,2.77,0.21213203435596475,0.028284271247461926,3.06,0.2404163056034267,8.6,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2062,1.73,0120,1.115,sadness,,1.73,1.115,0.09899494936611673,0.1626345596729059,0.615,0.26162950903902266,2.8449999999999998,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0746,2.1,0255,1.75,sadness,,2.1,1.75,0.33941125496954266,0.2969848480983499,0.3500000000000001,0.6363961030678926,3.85,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2119,2.675,0891,1.505,sadness,,2.675,1.505,0.19091883092036785,0.06363961030678934,1.17,0.2545584412271572,4.18,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2119,2.675,0255,1.75,sadness,,2.675,1.75,0.19091883092036785,0.2969848480983499,0.9249999999999998,0.4879036790187178,4.425,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2035,5.125,0746,2.1,sadness,,5.125,2.1,0.51618795026618,0.33941125496954266,3.025,0.8555992052357226,7.225,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1169,2.77,1725,3.1,sadness,,2.77,3.1,0.028284271247461926,0.1838477631085022,0.33000000000000007,0.21213203435596412,5.87,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1752,3.275,1485,4.51,sadness,,3.275,4.51,0.41719300090006295,0.16970562748477155,1.2349999999999999,0.5868986283848345,7.785,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1485,4.51,0877,5.359999999999999,sadness,,4.51,5.359999999999999,0.16970562748477155,0.4808326112068527,0.8499999999999996,0.6505382386916243,9.87,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0746,2.1,2119,2.675,sadness,,2.1,2.675,0.33941125496954266,0.19091883092036785,0.5749999999999997,0.5303300858899105,4.775,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
