rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
5.98,0566,disgust,5.69,5.835000000000001,0.2050609665440988,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.02,2067,disgust,1.63,1.325,0.4313351365237939,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.5,1916,disgust,5.63,5.5649999999999995,0.0919238815542511,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.47,1757,disgust,2.65,3.5599999999999996,1.2869343417595163,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.39,1035,disgust,1.9,1.645,0.36062445840513924,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
6.46,1765,disgust,5.97,6.215,0.34648232278140845,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.58,1137,disgust,1.88,1.73,0.21213203435596414,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.57,0905,disgust,4.65,4.61,0.05656854249492385,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.6,0417,disgust,4.91,5.255,0.48790367901871745,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
7.0,1174,disgust,6.99,6.995,0.007071067811865324,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.97,0218,disgust,5.14,5.555,0.5868986283848344,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.81,0282,disgust,1.95,1.88,0.09899494936611658,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.92,0079,disgust,1.96,1.94,0.028284271247461926,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.97,0464,disgust,2.99,2.9800000000000004,0.014142135623730963,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.21,1970,disgust,1.08,1.145,0.0919238815542511,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.95,0513,disgust,2.96,2.955,0.007071067811865324,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.9,1576,disgust,4.93,4.915,0.021213203435595972,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
6.0,1271,disgust,6.53,6.265000000000001,0.37476659402887036,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.49,0829,disgust,2.73,3.1100000000000003,0.5374011537017763,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
