rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
,1206,joy,2.97,2.97,,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.89,1428,joy,1.8,1.845,0.06363961030678918,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.61,1160,joy,1.68,1.645,0.049497474683058214,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.25,2060,joy,3.23,2.74,0.6929646455628166,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.67,0083,joy,3.67,3.17,0.7071067811865476,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.27,0174,joy,4.66,3.965,0.9828784258493011,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.26,1848,joy,1.65,1.455,0.27577164466275345,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.08,1898,joy,1.5,1.29,0.2969848480983499,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.49,1698,joy,1.75,1.62,0.18384776310850234,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.97,0194,joy,3.01,2.99,0.028284271247461613,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.62,0982,joy,1.78,1.7000000000000002,0.11313708498984755,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.28,1932,joy,1.48,1.38,0.14142135623730948,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.62,2102,joy,2.69,2.1550000000000002,0.7566042558696058,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.01,1159,joy,2.49,2.75,0.3676955262170044,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.94,1012,joy,1.55,1.745,0.27577164466275345,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.03,1191,joy,3.43,3.23,0.2828427124746193,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.09,1692,joy,2.6,2.3449999999999998,0.3606244584051394,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.66,1743,joy,2.64,2.6500000000000004,0.014142135623730963,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.77,1850,joy,1.62,1.695,0.10606601717798207,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.74,0844,joy,1.28,1.51,0.3252691193458118,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.48,1503,joy,1.46,1.47,0.014142135623730963,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.21,0864,joy,2.48,2.3449999999999998,0.19091883092036785,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.58,1171,joy,1.78,2.18,0.5656854249492381,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.04,1580,joy,4.78,4.91,0.1838477631085022,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.68,1365,joy,1.54,1.6099999999999999,0.09899494936611658,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.26,1281,joy,4.67,3.965,0.9970205614730321,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.66,1683,joy,3.49,3.075,0.5868986283848344,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.43,1343,joy,1.55,1.49,0.08485281374238578,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.65,0452,joy,1.56,2.105,0.7707463914933367,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.51,1661,joy,1.72,2.1149999999999998,0.5586143571373724,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.38,1191,joy,2.82,2.5999999999999996,0.31112698372208086,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.03,1850,joy,5.73,5.380000000000001,0.4949747468305834,66eiQT6v7jbX4HLVZAF9jjjAnhi2
6.03,1503,joy,5.71,5.87,0.2262741699796954,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.49,1428,joy,4.16,3.825,0.4737615433949868,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.31,1698,joy,4.27,3.79,0.6788225099390853,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.35,0083,joy,6.18,5.765,0.5868986283848344,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.34,1365,joy,5.39,5.365,0.03535533905932725,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.97,1159,joy,5.44,4.705,1.0394469683442251,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.77,0982,joy,5.88,5.824999999999999,0.07778174593052045,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.56,1898,joy,4.52,4.04,0.6788225099390853,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.63,0864,joy,3.76,3.695,0.0919238815542511,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.22,1281,joy,3.42,3.82,0.5656854249492379,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.71,2102,joy,6.25,5.98,0.3818376618407357,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.47,1343,joy,4.43,4.449999999999999,0.028284271247461926,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.67,0174,joy,6.45,6.0600000000000005,0.5515432893255073,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.47,1661,joy,6.16,5.8149999999999995,0.48790367901871806,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.85,1683,joy,5.94,5.895,0.0636396103067898,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.07,1580,joy,5.54,5.305,0.33234018715767716,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.41,0844,joy,3.29,3.35,0.08485281374238578,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.16,1171,joy,2.96,3.06,0.14142135623730964,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.97,1160,joy,4.3,3.635,0.9404520189781079,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.49,2060,joy,4.89,4.6899999999999995,0.2828427124746186,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.98,1692,joy,5.73,5.855,0.1767766952966369,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.96,1012,joy,3.79,3.875,0.12020815280171303,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.15,1743,joy,2.7,2.925,0.3181980515339462,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.91,0194,joy,6.13,6.02,0.15556349186104027,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.17,1848,joy,2.99,3.08,0.12727922061357835,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.96,0452,joy,4.45,4.205,0.34648232278140845,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.77,1932,joy,4.95,4.859999999999999,0.127279220613579,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.06,1206,joy,5.61,5.335,0.38890872965260165,66eiQT6v7jbX4HLVZAF9jjjAnhi2
6.06,1850,joy,4.96,5.51,0.7778174593052021,aM1CxLBZisfaOXevMwqsUy7nQE23
2.05,1503,joy,1.99,2.02,0.042426406871192736,aM1CxLBZisfaOXevMwqsUy7nQE23
1.58,1206,joy,2.01,1.795,0.30405591591021525,aM1CxLBZisfaOXevMwqsUy7nQE23
4.27,1343,joy,3.04,3.655,0.8697413408594531,aM1CxLBZisfaOXevMwqsUy7nQE23
5.03,0174,joy,4.74,4.885,0.2050609665440988,aM1CxLBZisfaOXevMwqsUy7nQE23
7.0,0194,joy,7.0,7.0,0.0,aM1CxLBZisfaOXevMwqsUy7nQE23
5.19,1692,joy,1.0,3.095,2.9627774131716347,aM1CxLBZisfaOXevMwqsUy7nQE23
2.92,1580,joy,2.12,2.52,0.5656854249492379,aM1CxLBZisfaOXevMwqsUy7nQE23
4.6,0864,joy,4.57,4.585,0.021213203435595972,aM1CxLBZisfaOXevMwqsUy7nQE23
1.8,1932,joy,3.13,2.465,0.940452018978108,aM1CxLBZisfaOXevMwqsUy7nQE23
4.95,1848,joy,3.14,4.045,1.2798632739476512,aM1CxLBZisfaOXevMwqsUy7nQE23
6.97,1661,joy,7.0,6.984999999999999,0.0212132034355966,aM1CxLBZisfaOXevMwqsUy7nQE23
3.2,0452,joy,2.03,2.615,0.8273149339882608,aM1CxLBZisfaOXevMwqsUy7nQE23
4.98,1160,joy,5.86,5.42,0.6222539674441617,aM1CxLBZisfaOXevMwqsUy7nQE23
3.86,1191,joy,4.2,4.03,0.24041630560342636,aM1CxLBZisfaOXevMwqsUy7nQE23
5.96,1898,joy,4.9,5.43,0.7495331880577402,aM1CxLBZisfaOXevMwqsUy7nQE23
4.8,1743,joy,4.92,4.859999999999999,0.08485281374238578,aM1CxLBZisfaOXevMwqsUy7nQE23
3.87,1428,joy,4.07,3.97,0.14142135623730964,aM1CxLBZisfaOXevMwqsUy7nQE23
2.98,1365,joy,4.76,3.87,1.2586500705120545,aM1CxLBZisfaOXevMwqsUy7nQE23
3.01,1171,joy,4.2,3.605,0.8414570696119918,aM1CxLBZisfaOXevMwqsUy7nQE23
4.88,0083,joy,4.37,4.625,0.36062445840513907,aM1CxLBZisfaOXevMwqsUy7nQE23
2.31,2060,joy,2.09,2.2,0.1555634918610406,aM1CxLBZisfaOXevMwqsUy7nQE23
6.45,2102,joy,6.49,6.470000000000001,0.028284271247461926,aM1CxLBZisfaOXevMwqsUy7nQE23
4.45,1698,joy,3.08,3.765,0.9687362902255702,aM1CxLBZisfaOXevMwqsUy7nQE23
1.04,0844,joy,1.05,1.045,0.007071067811865481,aM1CxLBZisfaOXevMwqsUy7nQE23
6.53,1159,joy,5.94,6.235,0.41719300090006295,aM1CxLBZisfaOXevMwqsUy7nQE23
