videoID,emotionName,durationBlackScreen,rating,average_rating,variance_rating,subject_id
1174,disgust,2600,,4.59,,O4mOO2W80Od34gyNg7l6hJzqlDm2
1485,sadness,2600,6.37,5.8100000000000005,0.7919595949289333,O4mOO2W80Od34gyNg7l6hJzqlDm2
0829,disgust,2600,2.96,2.92,0.05656854249492385,O4mOO2W80Od34gyNg7l6hJzqlDm2
0746,sadness,2600,3.93,4.41,0.6788225099390853,O4mOO2W80Od34gyNg7l6hJzqlDm2
0490,sadness,2600,5.7,5.35,0.4949747468305834,O4mOO2W80Od34gyNg7l6hJzqlDm2
1037,anxiety,2600,5.58,6.095000000000001,0.7283199846221442,O4mOO2W80Od34gyNg7l6hJzqlDm2
0489,anxiety,2600,4.72,4.529999999999999,0.268700576850888,O4mOO2W80Od34gyNg7l6hJzqlDm2
1970,disgust,2600,2.35,1.675,0.9545941546018393,O4mOO2W80Od34gyNg7l6hJzqlDm2
0120,sadness,2600,1.15,1.075,0.10606601717798207,O4mOO2W80Od34gyNg7l6hJzqlDm2
1402,anxiety,2600,1.95,1.665,0.40305086527633216,O4mOO2W80Od34gyNg7l6hJzqlDm2
0083,joy,2600,5.62,5.415,0.28991378028648457,O4mOO2W80Od34gyNg7l6hJzqlDm2
0174,joy,2600,6.04,6.015000000000001,0.03535533905932725,O4mOO2W80Od34gyNg7l6hJzqlDm2
1622,romance,2600,6.05,5.390000000000001,0.9333809511662423,O4mOO2W80Od34gyNg7l6hJzqlDm2
1807,romance,2600,6.16,6.09,0.09899494936611705,O4mOO2W80Od34gyNg7l6hJzqlDm2
0115,anxiety,2600,4.85,5.029999999999999,0.2545584412271574,O4mOO2W80Od34gyNg7l6hJzqlDm2
0069,romance,2600,5.47,5.02,0.6363961030678924,O4mOO2W80Od34gyNg7l6hJzqlDm2
0730,anxiety,2600,5.11,4.835,0.38890872965260165,O4mOO2W80Od34gyNg7l6hJzqlDm2
1428,joy,2600,3.65,3.5300000000000002,0.16970562748477125,O4mOO2W80Od34gyNg7l6hJzqlDm2
0395,anxiety,2600,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1960,disgust,2600,4.34,3.94,0.5656854249492379,O4mOO2W80Od34gyNg7l6hJzqlDm2
2062,sadness,2600,3.56,4.03,0.6646803743153546,O4mOO2W80Od34gyNg7l6hJzqlDm2
0891,sadness,2600,2.86,3.6950000000000003,1.1808683245815346,O4mOO2W80Od34gyNg7l6hJzqlDm2
1898,joy,2600,4.75,4.52,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
1743,joy,2600,5.0,5.0600000000000005,0.08485281374238578,O4mOO2W80Od34gyNg7l6hJzqlDm2
1829,romance,2600,5.8,5.895,0.1343502884254443,O4mOO2W80Od34gyNg7l6hJzqlDm2
1757,disgust,2600,3.77,3.475,0.41719300090006295,O4mOO2W80Od34gyNg7l6hJzqlDm2
1765,disgust,2600,4.48,4.630000000000001,0.21213203435596412,O4mOO2W80Od34gyNg7l6hJzqlDm2
2110,romance,2600,7.0,6.16,1.1879393923933996,O4mOO2W80Od34gyNg7l6hJzqlDm2
1160,joy,2600,2.26,2.58,0.45254833995939053,O4mOO2W80Od34gyNg7l6hJzqlDm2
0009,sadness,2600,6.17,6.07,0.14142135623730964,O4mOO2W80Od34gyNg7l6hJzqlDm2
1492,anxiety,2600,7.0,5.28,2.4324473272817237,O4mOO2W80Od34gyNg7l6hJzqlDm2
1329,sadness,2600,3.84,4.38,0.7636753236814714,O4mOO2W80Od34gyNg7l6hJzqlDm2
1928,romance,2600,4.9,4.795,0.14849242404917495,O4mOO2W80Od34gyNg7l6hJzqlDm2
1114,anxiety,2600,4.97,4.895,0.10606601717798175,O4mOO2W80Od34gyNg7l6hJzqlDm2
0417,disgust,2600,4.39,4.645,0.3606244584051397,O4mOO2W80Od34gyNg7l6hJzqlDm2
1752,sadness,2600,1.78,2.365,0.8273149339882607,O4mOO2W80Od34gyNg7l6hJzqlDm2
1626,romance,2600,5.11,5.12,0.014142135623730649,O4mOO2W80Od34gyNg7l6hJzqlDm2
1692,joy,2600,5.0,4.87,0.1838477631085022,O4mOO2W80Od34gyNg7l6hJzqlDm2
1716,romance,2600,3.42,4.21,1.1172287142747452,O4mOO2W80Od34gyNg7l6hJzqlDm2
1576,disgust,2600,3.33,3.44,0.15556349186104027,O4mOO2W80Od34gyNg7l6hJzqlDm2
1725,sadness,2600,3.39,3.4050000000000002,0.021213203435596288,O4mOO2W80Od34gyNg7l6hJzqlDm2
1916,disgust,2600,4.69,4.905,0.30405591591021525,O4mOO2W80Od34gyNg7l6hJzqlDm2
0271,anxiety,2600,4.4,3.9850000000000003,0.5868986283848348,O4mOO2W80Od34gyNg7l6hJzqlDm2
1850,joy,2600,4.47,4.605,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
1909,romance,2600,5.37,5.415,0.06363961030678918,O4mOO2W80Od34gyNg7l6hJzqlDm2
1295,romance,2600,4.36,4.595000000000001,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
1932,joy,2600,5.34,5.574999999999999,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
1756,romance,2600,5.49,5.35,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
0513,disgust,2600,7.0,6.859999999999999,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
0255,sadness,2600,2.99,3.285,0.41719300090006295,O4mOO2W80Od34gyNg7l6hJzqlDm2
1012,joy,2600,4.56,4.65,0.127279220613579,O4mOO2W80Od34gyNg7l6hJzqlDm2
0194,joy,2600,4.58,4.51,0.09899494936611643,O4mOO2W80Od34gyNg7l6hJzqlDm2
1054,romance,2600,5.6,5.68,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
0059,disgust,2600,5.32,5.42,0.141421356237309,O4mOO2W80Od34gyNg7l6hJzqlDm2
1206,joy,2600,2.91,3.27,0.5091168824543141,O4mOO2W80Od34gyNg7l6hJzqlDm2
1989,romance,2600,6.11,5.73,0.5374011537017765,O4mOO2W80Od34gyNg7l6hJzqlDm2
0464,disgust,2600,4.66,4.6,0.08485281374238578,O4mOO2W80Od34gyNg7l6hJzqlDm2
1279,sadness,2600,4.63,4.765000000000001,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
0095,disgust,2600,4.27,4.66,0.5515432893255073,O4mOO2W80Od34gyNg7l6hJzqlDm2
1777,anxiety,2600,4.53,4.625,0.1343502884254437,O4mOO2W80Od34gyNg7l6hJzqlDm2
2121,anxiety,2600,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1281,joy,2600,4.56,4.605,0.0636396103067898,O4mOO2W80Od34gyNg7l6hJzqlDm2
