rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
1.95,1503,joy,2.03,1.9899999999999998,0.0565685424949237,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.93,1281,joy,4.9,4.415,0.6858935777509513,F9hEyhHx2UcDoYq9p4H28cHBXRa2
1.0,1160,joy,1.0,1.0,0.0,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.03,0194,joy,4.99,5.01,0.028284271247461926,F9hEyhHx2UcDoYq9p4H28cHBXRa2
1.95,1743,joy,1.0,1.475,0.67175144212722,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.98,2102,joy,6.04,6.01,0.042426406871192576,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.96,1580,joy,5.95,5.455,0.7000357133746822,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.0,0864,joy,4.88,4.4399999999999995,0.6222539674441617,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.98,2060,joy,4.9,4.44,0.650538238691624,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.99,1698,joy,3.03,3.01,0.028284271247461613,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,1683,joy,5.71,5.355,0.5020458146424487,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.98,1932,joy,4.97,3.9749999999999996,1.4071424945612294,F9hEyhHx2UcDoYq9p4H28cHBXRa2
6.0,0982,joy,5.9,5.95,0.0707106781186545,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.93,0174,joy,2.98,2.955,0.03535533905932725,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.02,1848,joy,4.0,3.51,0.6929646455628166,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,0083,joy,5.93,5.465,0.657609306503489,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.02,1012,joy,5.07,4.545,0.7424621202458754,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.96,1206,joy,6.05,5.505,0.7707463914933367,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.88,1428,joy,5.01,4.945,0.0919238815542511,F9hEyhHx2UcDoYq9p4H28cHBXRa2
,1171,joy,2.98,2.98,,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.04,1850,joy,5.02,5.029999999999999,0.014142135623731277,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.91,1191,joy,4.0,3.955,0.06363961030678918,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,1159,joy,4.94,4.970000000000001,0.042426406871192576,F9hEyhHx2UcDoYq9p4H28cHBXRa2
1.98,1898,joy,3.02,2.5,0.7353910524340095,F9hEyhHx2UcDoYq9p4H28cHBXRa2
3.08,1343,joy,1.97,2.525,0.7848885271170678,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.88,1365,joy,2.93,2.9050000000000002,0.03535533905932756,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.02,1692,joy,4.99,5.005,0.021213203435595972,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.0,1661,joy,5.97,5.484999999999999,0.685893577750951,F9hEyhHx2UcDoYq9p4H28cHBXRa2
2.0,0844,joy,,2.0,,F9hEyhHx2UcDoYq9p4H28cHBXRa2
4.98,0452,joy,5.04,5.01,0.042426406871192576,F9hEyhHx2UcDoYq9p4H28cHBXRa2
5.4,0194,joy,6.24,5.82,0.5939696961966998,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.3,1281,joy,5.16,4.73,0.608111831820431,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.82,1898,joy,3.25,3.535,0.40305086527633194,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
1.01,0844,joy,2.05,1.5299999999999998,0.7353910524340093,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.58,0083,joy,5.86,6.220000000000001,0.5091168824543141,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.95,1683,joy,5.72,5.835,0.16263455967290624,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.61,1661,joy,5.55,6.08,0.7495331880577407,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.87,1848,joy,4.25,4.0600000000000005,0.268700576850888,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.13,2102,joy,5.45,5.29,0.2262741699796954,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.19,0174,joy,5.94,5.065,1.2374368670764582,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
2.98,2060,joy,3.83,3.4050000000000002,0.6010407640085654,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
5.05,1365,joy,5.15,5.1,0.07071067811865513,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
6.02,1012,joy,5.31,5.664999999999999,0.5020458146424487,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.24,1743,joy,4.45,4.345000000000001,0.14849242404917495,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.41,1191,joy,3.84,3.625,0.30405591591021525,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
3.1,1932,joy,4.49,3.795,0.9828784258493011,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
2.96,1206,joy,4.4,3.68,1.0182337649086288,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
4.62,1428,joy,4.57,4.595000000000001,0.03535533905932725,gmoV0YU5dfVFl3kdMKLHE1UMUgB3
