rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
5.62,0083,joy,5.21,5.415,0.28991378028648457,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.04,0174,joy,5.99,6.015000000000001,0.03535533905932725,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.41,1698,joy,4.14,4.275,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.74,0864,joy,4.47,4.105,0.5161879502661794,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.65,1428,joy,3.41,3.5300000000000002,0.16970562748477125,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.77,2102,joy,4.65,4.21,0.6222539674441621,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.35,0982,joy,5.45,4.9,0.7778174593052027,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.75,1898,joy,4.29,4.52,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.28,1343,joy,2.33,2.8049999999999997,0.6717514421272199,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.0,1743,joy,5.12,5.0600000000000005,0.08485281374238578,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.26,1160,joy,2.9,2.58,0.45254833995939053,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.12,1580,joy,5.14,5.13,0.014142135623730649,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.0,1692,joy,4.74,4.87,0.1838477631085022,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.19,2060,joy,3.85,4.0200000000000005,0.24041630560342636,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.47,1850,joy,4.74,4.605,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.34,1932,joy,5.81,5.574999999999999,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.13,1848,joy,5.29,5.21,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
