rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
5.15,2110,romance,2600,6.7,900,5.925000000000001,1.0960155108391485,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
6.88,1037,anxiety,900,6.68,2600,6.779999999999999,0.14142135623730964,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
4.06,1698,joy,2600,3.49,900,3.775,0.40305086527633166,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
,1329,sadness,900,3.9,2600,3.9,,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
6.26,1807,romance,2600,6.89,900,6.574999999999999,0.44547727214752486,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
4.38,1626,romance,900,4.98,2600,4.68,0.4242640687119289,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
7.0,0095,disgust,900,6.99,2600,6.995,0.007071067811865324,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
6.39,0548,anxiety,900,6.46,2600,6.425,0.049497474683058526,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
2.98,0911,anxiety,2600,4.54,900,3.76,1.1030865786510142,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
1.92,0758,anxiety,900,2.61,2600,2.2649999999999997,0.48790367901871773,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
3.91,1281,joy,900,3.89,2600,3.9000000000000004,0.014142135623730963,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
1.2,1848,joy,900,3.03,2600,2.1149999999999998,1.2940054095713818,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
1.89,1503,joy,2600,4.72,900,3.3049999999999997,2.0011121907579295,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
7.0,0190,anxiety,900,6.19,2600,6.595000000000001,0.5727564927611032,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
3.99,1970,disgust,900,2.85,2600,3.42,0.8061017305526643,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
5.32,0982,joy,2600,5.83,900,5.575,0.36062445840513907,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
1.0,0271,anxiety,2600,1.13,900,1.065,0.0919238815542511,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
5.37,1692,joy,900,6.1,2600,5.734999999999999,0.5161879502661794,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
4.19,0648,anxiety,2600,5.06,900,4.625,0.6151828996322958,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
4.98,1932,joy,2600,5.41,900,5.195,0.30405591591021525,EvpyHfyLLHhUiMY2yOuI2ul7x6t2
