rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
1.02,0522,anxiety,2.63,1.825,1.1384419177103413,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.46,0648,anxiety,4.65,3.055,2.2556706319850868,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.92,0491,anxiety,2.42,2.17,0.3535533905932738,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.06,1737,anxiety,6.22,4.64,2.23445742854949,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.06,0758,anxiety,1.27,1.165,0.14849242404917495,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.8,1492,anxiety,4.55,3.675,1.2374368670764582,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.41,0548,anxiety,4.97,4.1899999999999995,1.1030865786510138,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.86,1642,anxiety,3.71,2.785,1.3081475451951128,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.66,0969,anxiety,1.46,1.56,0.14142135623730948,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.17,0744,anxiety,3.1,3.135,0.049497474683058214,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.89,0377,anxiety,6.59,5.74,1.2020815280171309,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.9,0489,anxiety,5.71,5.305,0.5727564927611032,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.98,0460,anxiety,6.07,5.525,0.7707463914933367,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.25,0722,anxiety,5.34,5.295,0.06363961030678918,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.78,2121,anxiety,6.55,6.165,0.5444722215136413,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.25,1777,anxiety,2.99,2.62,0.5232590180780453,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.64,1402,anxiety,1.78,1.71,0.09899494936611673,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.48,2130,anxiety,3.03,2.755,0.38890872965260104,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.78,1767,anxiety,6.19,5.985,0.28991378028648457,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.95,0730,anxiety,4.9,4.925000000000001,0.03535533905932725,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.85,1037,anxiety,5.87,5.359999999999999,0.7212489168102788,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.38,0271,anxiety,1.7,2.04,0.4808326112068523,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
6.87,0046,anxiety,6.04,6.455,0.5868986283848344,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
6.06,0190,anxiety,6.26,6.16,0.14142135623730964,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.74,1283,anxiety,5.91,5.825,0.12020815280171303,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.98,1114,anxiety,5.66,5.32,0.4808326112068521,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
6.0,1679,anxiety,6.48,6.24,0.3394112549695431,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
6.51,0395,anxiety,6.29,6.4,0.15556349186104027,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.69,0115,anxiety,3.31,3.0,0.4384062043356595,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.6,0911,anxiety,1.78,2.19,0.579827560572969,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.84,0489,anxiety,5.26,5.55,0.4101219330881976,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.03,1737,anxiety,5.63,5.33,0.4242640687119283,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.8,1283,anxiety,5.6,5.199999999999999,0.5656854249492379,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.19,1679,anxiety,5.7,5.445,0.36062445840513907,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.12,1642,anxiety,4.19,4.155,0.049497474683058526,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.46,0395,anxiety,5.5,5.48,0.028284271247461926,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.78,0491,anxiety,3.27,3.025,0.34648232278140845,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.23,2130,anxiety,4.84,5.035,0.27577164466275395,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.63,0190,anxiety,5.31,5.47,0.2262741699796954,66eiQT6v7jbX4HLVZAF9jjjAnhi2
6.0,1114,anxiety,5.43,5.715,0.40305086527633227,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.62,0377,anxiety,5.85,5.734999999999999,0.1626345596729056,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.82,0911,anxiety,5.46,5.140000000000001,0.4525483399593902,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.88,0460,anxiety,5.59,5.734999999999999,0.2050609665440988,66eiQT6v7jbX4HLVZAF9jjjAnhi2
6.26,1767,anxiety,5.21,5.734999999999999,0.7424621202458748,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.2,1777,anxiety,2.75,3.475,1.025304832720494,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.35,0744,anxiety,5.17,5.26,0.12727922061357835,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.35,2121,anxiety,5.77,5.56,0.2969848480983499,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.0,0969,anxiety,4.21,3.605,0.8555992052357225,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.2,0046,anxiety,5.28,5.24,0.05656854249492385,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.23,0730,anxiety,5.38,5.305,0.10606601717798175,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.98,0758,anxiety,3.05,3.0149999999999997,0.049497474683058214,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.49,1402,anxiety,3.27,2.88,0.5515432893255069,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.01,0271,anxiety,1.9,1.9549999999999998,0.07778174593052013,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.19,0722,anxiety,4.59,4.390000000000001,0.2828427124746186,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.6,1037,anxiety,3.73,4.165,0.6151828996322961,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.09,0648,anxiety,5.7,5.395,0.43133513652379424,66eiQT6v7jbX4HLVZAF9jjjAnhi2
