rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
1.06,1086,romance,1.78,1.42,0.5091168824543142,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.69,1989,romance,2.99,3.8400000000000003,1.2020815280171309,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.23,0307,romance,1.92,2.075,0.21920310216782976,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.87,1534,romance,2.44,2.1550000000000002,0.40305086527633194,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.03,1716,romance,2.51,2.2699999999999996,0.33941125496954283,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.71,0824,romance,1.75,1.73,0.028284271247461926,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.33,2110,romance,2.95,2.64,0.4384062043356595,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.28,0520,romance,1.54,1.4100000000000001,0.18384776310850234,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.08,0103,romance,1.04,1.06,0.028284271247461926,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.04,1622,romance,3.37,3.205,0.23334523779156074,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.52,0779,romance,1.43,1.475,0.06363961030678934,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.97,1909,romance,2.91,2.9400000000000004,0.04242640687119289,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.93,1928,romance,6.69,6.3100000000000005,0.5374011537017765,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.04,1238,romance,5.96,5.5,0.6505382386916236,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.91,1756,romance,2.98,2.9450000000000003,0.049497474683058214,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.33,1626,romance,2.65,2.49,0.2262741699796951,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.96,1807,romance,3.03,2.995,0.049497474683058214,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.25,0069,romance,2.99,2.62,0.5232590180780453,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.97,1295,romance,3.18,3.075,0.14849242404917495,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.35,1829,romance,2.95,3.1500000000000004,0.28284271247461895,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
