rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
1.95,1943,sadness,1.65,1.7999999999999998,0.21213203435596428,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.0,0120,sadness,1.23,1.115,0.1626345596729059,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.79,1169,sadness,2.75,2.77,0.028284271247461926,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.48,1703,sadness,4.97,4.725,0.34648232278140784,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.81,0600,sadness,2.09,1.95,0.19798989873223316,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.98,1752,sadness,3.57,3.275,0.41719300090006295,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.89,1623,sadness,3.45,3.17,0.39597979746446665,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.92,0490,sadness,3.7,3.31,0.5515432893255072,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.66,2062,sadness,1.8,1.73,0.09899494936611673,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.68,0009,sadness,5.98,5.83,0.21213203435596475,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.23,1231,sadness,2.99,2.6100000000000003,0.5374011537017763,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.02,0877,sadness,5.7,5.359999999999999,0.4808326112068527,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.08,1511,sadness,3.08,3.08,0.0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.54,0255,sadness,1.96,1.75,0.2969848480983499,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.46,0891,sadness,1.55,1.505,0.06363961030678934,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.47,1329,sadness,1.47,1.47,0.0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.54,2119,sadness,2.81,2.675,0.19091883092036785,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.54,0300,sadness,4.86,4.7,0.2262741699796954,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
5.49,2035,sadness,4.76,5.125,0.51618795026618,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.97,1725,sadness,3.23,3.1,0.1838477631085022,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.99,1101,sadness,4.56,3.775,1.1101576464628793,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.96,1279,sadness,3.78,3.37,0.5798275605729688,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.86,0746,sadness,2.34,2.1,0.33941125496954266,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
3.69,0312,sadness,3.34,3.5149999999999997,0.2474873734152917,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
4.39,1485,sadness,4.63,4.51,0.16970562748477155,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1.64,0774,sadness,1.47,1.555,0.12020815280171303,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.2,1167,sadness,1.65,1.925,0.3889087296526013,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2.29,1943,sadness,2.47,2.38,0.1272792206135787,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.14,0600,sadness,2.98,2.56,0.5939696961966998,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.64,0877,sadness,5.75,5.195,0.7848885271170679,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.4,0300,sadness,5.67,5.035,0.898025612106915,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.16,1329,sadness,2.73,2.9450000000000003,0.3040559159102155,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.91,1231,sadness,5.38,5.645,0.37476659402887036,66eiQT6v7jbX4HLVZAF9jjjAnhi2
6.23,1752,sadness,6.5,6.365,0.19091883092036754,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.95,0490,sadness,4.78,4.865,0.12020815280171303,66eiQT6v7jbX4HLVZAF9jjjAnhi2
